date,count
1612134000,26
1612137600,0
1612141200,4
1612144800,2
1612148400,0
1612152000,4
1612155600,6
1612159200,4
1612162800,2
1612166400,0
1612170000,8
1612173600,0
1612177200,2
1612180800,6
1612184400,2
1612188000,12
1612191600,2
1612195200,2
1612198800,6
1612202400,0
1612206000,0
1612209600,0
1612213200,4
1612216800,4
1612220400,0
1612224000,4
1612227600,0
1612231200,0
1612234800,2
1612238400,6
1612242000,0
1612245600,2
1612249200,0
1612252800,0
1612256400,14
1612260000,0
1612263600,0
1612267200,4
1612270800,8
1612274400,2
1612278000,0
1612281600,8
1612285200,10
1612288800,6
1612292400,4
1612296000,0
1612299600,2
1612303200,6
1612306800,0
1612310400,0
1612314000,6
1612317600,0
1612321200,0
1612324800,0
1612328400,2
1612332000,2
1612335600,10
1612339200,4
1612342800,6
1612346400,6
1612350000,10
1612353600,12
1612357200,36
1612360800,56
1612364400,26
1612368000,6
1612371600,6
1612375200,2
1612378800,8
1612382400,10
1612386000,20
1612389600,42
1612393200,32
1612396800,126
1612400400,74
1612404000,16
1612407600,18
1612411200,38
1612414800,16
1612418400,20
1612422000,10
1612425600,12
1612429200,18
1612432800,70
1612436400,6
1612440000,20
1612443600,28
1612447200,32
1612450800,2
1612454400,190
1612458000,190
1612461600,128
1612465200,36
1612468800,14
1612472400,54
1612476000,24
1612479600,30
1612483200,0
1612486800,14
1612490400,22
1612494000,8
1612497600,22
1612501200,12
1612504800,12
1612508400,12
1612512000,40
1612515600,12
1612519200,2
1612522800,2
1612526400,6
1612530000,40
1612533600,50
1612537200,18
1612540800,14
1612544400,26
1612548000,10
1612551600,12
1612555200,36
1612558800,16
1612562400,8
1612566000,4
1612569600,8
1612573200,54
1612576800,94
1612580400,94
1612584000,12
1612587600,28
1612591200,44
1612594800,18
1612598400,28
1612602000,8
1612605600,14
1612609200,24
1612612800,22
1612616400,8
1612620000,10
1612623600,8
1612627200,12
1612630800,24
1612634400,2
1612638000,2
1612641600,8
1612645200,12
1612648800,0
1612652400,6
1612656000,0
1612659600,10
1612663200,2
1612666800,2
1612670400,28
1612674000,18
1612677600,16
1612681200,0
1612684800,8
1612688400,8
1612692000,2
1612695600,10
1612699200,16
1612702800,14
1612706400,6
1612710000,26
1612713600,48
1612717200,26
1612720800,36
1612724400,10
1612728000,24
1612731600,0
1612735200,4
1612738800,14
1612742400,14
1612746000,24
1612749600,6
1612753200,20
1612756800,4
1612760400,20
1612764000,24
1612767600,26
1612771200,30
1612774800,16
1612778400,12
1612782000,30
1612785600,22
1612789200,32
1612792800,20
1612796400,24
1612800000,6
1612803600,4
1612807200,8
1612810800,8
1612814400,16
1612818000,22
1612821600,20
1612825200,8
1612828800,4
1612832400,4
1612836000,2
1612839600,0
1612843200,0
1612846800,18
1612850400,4
1612854000,0
1612857600,10
1612861200,2
1612864800,4
1612868400,8
1612872000,2
1612875600,4
1612879200,10
1612882800,8
1612886400,8
1612890000,6
1612893600,0
1612897200,2
1612900800,4
1612904400,10
1612908000,2
1612911600,0
1612915200,8
1612918800,16
1612922400,12
1612926000,16
1612929600,30
1612933200,76
1612936800,50
1612940400,14
1612944000,22
1612947600,20
1612951200,6
1612954800,8
1612958400,6
1612962000,2
1612965600,2
1612969200,14
1612972800,10
1612976400,2
1612980000,4
1612983600,0
1612987200,0
1612990800,0
1612994400,4
1612998000,12
1613001600,6
1613005200,0
1613008800,0
1613012400,2
1613016000,2
1613019600,6
1613023200,8
1613026800,8
1613030400,4
1613034000,2
1613037600,6
1613041200,2
1613044800,10
1613048400,4
1613052000,4
1613055600,6
1613059200,4
1613062800,8
1613066400,14
1613070000,2
1613073600,6
1613077200,2
1613080800,0
1613084400,6
1613088000,0
1613091600,0
1613095200,2
1613098800,2
1613102400,10
1613106000,18
1613109600,16
1613113200,12
1613116800,4
1613120400,2
1613124000,0
1613127600,0
1613131200,8
1613134800,6
1613138400,0
1613142000,4
1613145600,2
1613149200,0
1613152800,4
1613156400,4
1613160000,6
1613163600,4
1613167200,16
1613170800,8
1613174400,12
1613178000,12
1613181600,0
1613185200,10
1613188800,2
1613192400,8
1613196000,8
1613199600,14
1613203200,16
1613206800,6
1613210400,2
1613214000,0
1613217600,10
1613221200,0
1613224800,0
1613228400,0
1613232000,2
1613235600,6
1613239200,8
1613242800,4
1613246400,2
1613250000,4
1613253600,2
1613257200,4
1613260800,2
1613264400,10
1613268000,2
1613271600,4
1613275200,16
1613278800,6
1613282400,16
1613286000,2
1613289600,2
1613293200,0
1613296800,10
1613300400,12
1613304000,0
1613307600,4
1613311200,4
1613314800,2
1613318400,6
1613322000,4
1613325600,0
1613329200,0
1613332800,2
1613336400,0
1613340000,0
1613343600,2
1613347200,4
1613350800,26
1613354400,38
1613358000,34
1613361600,16
1613365200,2
1613368800,8
1613372400,10
1613376000,16
1613379600,6
1613383200,0
1613386800,0
1613390400,10
1613394000,2
1613397600,4
1613401200,4
1613404800,6
1613408400,4
1613412000,2
1613415600,18
1613419200,4
1613422800,0
1613426400,2
1613430000,6
1613433600,4
1613437200,8
1613440800,0
1613444400,0
1613448000,8
1613451600,6
1613455200,10
1613458800,22
1613462400,14
1613466000,18
1613469600,8
1613473200,0
1613476800,12
1613480400,12
1613484000,8
1613487600,2
1613491200,10
1613494800,18
1613498400,4
1613502000,6
1613505600,4
1613509200,6
1613512800,2
1613516400,6
1613520000,16
1613523600,20
1613527200,20
1613530800,14
1613534400,4
1613538000,2
1613541600,8
1613545200,8
1613548800,0
1613552400,2
1613556000,2
1613559600,0
1613563200,2
1613566800,0
1613570400,4
1613574000,0
1613577600,0
1613581200,4
1613584800,0
1613588400,0
1613592000,4
1613595600,18
1613599200,2
1613602800,0
1613606400,0
1613610000,22
1613613600,0
1613617200,2
1613620800,2
1613624400,2
1613628000,8
1613631600,2
1613635200,4
1613638800,16
1613642400,6
1613646000,2
1613649600,0
1613653200,2
1613656800,0
1613660400,0
1613664000,4
1613667600,0
1613671200,0
1613674800,2
1613678400,0
1613682000,0
1613685600,0
1613689200,10
1613692800,0
1613696400,4
1613700000,6
1613703600,0
1613707200,6
1613710800,2
1613714400,4
1613718000,0
1613721600,2
1613725200,2
1613728800,2
1613732400,4
1613736000,6
1613739600,4
1613743200,6
1613746800,2
1613750400,4
1613754000,2
1613757600,2
1613761200,4
1613764800,0
1613768400,12
1613772000,14
1613775600,6
1613779200,0
1613782800,4
1613786400,6
1613790000,0
1613793600,2
1613797200,6
1613800800,20
1613804400,10
1613808000,0
1613811600,34
1613815200,8
1613818800,0
1613822400,2
1613826000,0
1613829600,14
1613833200,0
1613836800,0
1613840400,0
1613844000,4
1613847600,2
1613851200,2
1613854800,6
1613858400,6
1613862000,2
1613865600,6
1613869200,0
1613872800,0
1613876400,6
1613880000,2
1613883600,0
1613887200,4
1613890800,0
1613894400,4
1613898000,0
1613901600,4
1613905200,2
1613908800,0
1613912400,0
1613916000,0
1613919600,2
1613923200,0
1613926800,0
1613930400,2
1613934000,12
1613937600,6
1613941200,2
1613944800,2
1613948400,0
1613952000,2
1613955600,12
1613959200,2
1613962800,0
1613966400,2
1613970000,0
1613973600,0
1613977200,2
1613980800,0
1613984400,0
1613988000,0
1613991600,0
1613995200,14
1613998800,2
1614002400,0
1614006000,0
1614009600,2
1614013200,10
1614016800,2
1614020400,14
1614024000,0
1614027600,2
1614031200,2
1614034800,4
1614038400,0
1614042000,0
1614045600,8
1614049200,12
1614052800,22
1614056400,2
1614060000,6
1614063600,4
1614067200,4
1614070800,8
1614074400,4
1614078000,4
1614081600,8
1614085200,4
1614088800,0
1614092400,2
1614096000,2
1614099600,4
1614103200,6
1614106800,0
1614110400,8
1614114000,2
1614117600,0
1614121200,2
1614124800,2
1614128400,8
1614132000,6
1614135600,12
1614139200,8
1614142800,4
1614146400,4
1614150000,4
1614153600,0
1614157200,4
1614160800,0
1614164400,0
1614168000,0
1614171600,0
1614175200,0
1614178800,0
1614182400,0
1614186000,8
1614189600,0
1614193200,6
1614196800,16
1614200400,0
1614204000,2
1614207600,8
1614211200,4
1614214800,0
1614218400,0
1614222000,4
1614225600,0
1614229200,4
1614232800,2
1614236400,2
1614240000,2
1614243600,0
1614247200,0
1614250800,0
1614254400,0
1614258000,0
1614261600,0
1614265200,0
1614268800,2
1614272400,0
1614276000,4
1614279600,0
1614283200,0
1614286800,0
1614290400,0
1614294000,2
1614297600,6
1614301200,2
1614304800,2
1614308400,2
1614312000,0
1614315600,0
1614319200,0
1614322800,8
1614326400,0
1614330000,0
1614333600,6
1614337200,0
1614340800,12
1614344400,0
1614348000,0
1614351600,0
1614355200,0
1614358800,0
1614362400,0
1614366000,0
1614369600,0
1614373200,12
1614376800,4
1614380400,8
1614384000,2
1614387600,4
1614391200,0
1614394800,0
1614398400,10
1614402000,0
1614405600,0
1614409200,0
1614412800,0
1614416400,0
1614420000,0
1614423600,12
1614427200,0
1614430800,0
1614434400,0
1614438000,0
1614441600,0
1614445200,6
1614448800,0
1614452400,0
1614456000,0
1614459600,4
1614463200,0
1614466800,2
1614470400,0
1614474000,0
1614477600,0
1614481200,6
1614484800,12
1614488400,2
1614492000,2
1614495600,4
1614499200,0
1614502800,2
1614506400,0
1614510000,0
1614513600,0
1614517200,2
1614520800,2
1614524400,2
