date,count
1612134000,0
1612137600,0
1612141200,0
1612144800,1
1612148400,0
1612152000,0
1612155600,0
1612159200,0
1612162800,0
1612166400,1
1612170000,0
1612173600,0
1612177200,1
1612180800,0
1612184400,2
1612188000,0
1612191600,0
1612195200,0
1612198800,1
1612202400,0
1612206000,1
1612209600,1
1612213200,1
1612216800,0
1612220400,0
1612224000,1
1612227600,0
1612231200,0
1612234800,0
1612238400,0
1612242000,0
1612245600,0
1612249200,0
1612252800,1
1612256400,0
1612260000,0
1612263600,0
1612267200,3
1612270800,1
1612274400,0
1612278000,5
1612281600,0
1612285200,1
1612288800,0
1612292400,4
1612296000,0
1612299600,0
1612303200,0
1612306800,0
1612310400,1
1612314000,1
1612317600,0
1612321200,2
1612324800,0
1612328400,0
1612332000,0
1612335600,6
1612339200,1
1612342800,1
1612346400,0
1612350000,2
1612353600,2
1612357200,3
1612360800,4
1612364400,32
1612368000,24
1612371600,14
1612375200,6
1612378800,1
1612382400,1
1612386000,0
1612389600,0
1612393200,2
1612396800,0
1612400400,1
1612404000,0
1612407600,5
1612411200,0
1612414800,0
1612418400,0
1612422000,0
1612425600,0
1612429200,0
1612432800,0
1612436400,1
1612440000,2
1612443600,3
1612447200,2
1612450800,1
1612454400,0
1612458000,4
1612461600,1
1612465200,0
1612468800,0
1612472400,0
1612476000,0
1612479600,0
1612483200,0
1612486800,0
1612490400,0
1612494000,3
1612497600,0
1612501200,0
1612504800,0
1612508400,0
1612512000,1
1612515600,0
1612519200,0
1612522800,0
1612526400,2
1612530000,1
1612533600,0
1612537200,0
1612540800,1
1612544400,0
1612548000,0
1612551600,0
1612555200,1
1612558800,0
1612562400,3
1612566000,2
1612569600,2
1612573200,1
1612576800,0
1612580400,0
1612584000,0
1612587600,0
1612591200,0
1612594800,0
1612598400,0
1612602000,0
1612605600,0
1612609200,0
1612612800,0
1612616400,0
1612620000,0
1612623600,1
1612627200,0
1612630800,1
1612634400,1
1612638000,0
1612641600,0
1612645200,1
1612648800,0
1612652400,0
1612656000,0
1612659600,0
1612663200,0
1612666800,0
1612670400,0
1612674000,0
1612677600,1
1612681200,0
1612684800,0
1612688400,0
1612692000,18
1612695600,6
1612699200,0
1612702800,0
1612706400,0
1612710000,1
1612713600,0
1612717200,0
1612720800,2
1612724400,0
1612728000,0
1612731600,0
1612735200,1
1612738800,1
1612742400,1
1612746000,0
1612749600,0
1612753200,0
1612756800,16
1612760400,2
1612764000,3
1612767600,2
1612771200,2
1612774800,2
1612778400,1
1612782000,9
1612785600,5
1612789200,4
1612792800,0
1612796400,10
1612800000,53
1612803600,89
1612807200,226
1612810800,131
1612814400,79
1612818000,125
1612821600,45
1612825200,32
1612828800,102
1612832400,72
1612836000,138
1612839600,57
1612843200,31
1612846800,120
1612850400,130
1612854000,220
1612857600,346
1612861200,212
1612864800,142
1612868400,154
1612872000,129
1612875600,112
1612879200,105
1612882800,114
1612886400,73
1612890000,111
1612893600,79
1612897200,43
1612900800,103
1612904400,128
1612908000,39
1612911600,34
1612915200,42
1612918800,23
1612922400,30
1612926000,9
1612929600,4
1612933200,21
1612936800,28
1612940400,9
1612944000,26
1612947600,10
1612951200,87
1612954800,16
1612958400,18
1612962000,23
1612965600,17
1612969200,9
1612972800,4
1612976400,12
1612980000,19
1612983600,21
1612987200,16
1612990800,4
1612994400,4
1612998000,9
1613001600,9
1613005200,4
1613008800,2
1613012400,0
1613016000,3
1613019600,4
1613023200,5
1613026800,10
1613030400,4
1613034000,16
1613037600,34
1613041200,2
1613044800,4
1613048400,18
1613052000,4
1613055600,10
1613059200,3
1613062800,14
1613066400,0
1613070000,5
1613073600,21
1613077200,4
1613080800,13
1613084400,6
1613088000,41
1613091600,90
1613095200,10
1613098800,4
1613102400,1
1613106000,1
1613109600,1
1613113200,0
1613116800,2
1613120400,7
1613124000,0
1613127600,9
1613131200,11
1613134800,5
1613138400,2
1613142000,5
1613145600,7
1613149200,8
1613152800,2
1613156400,8
1613160000,11
1613163600,2
1613167200,9
1613170800,9
1613174400,10
1613178000,4
1613181600,0
1613185200,2
1613188800,0
1613192400,6
1613196000,5
1613199600,3
1613203200,1
1613206800,2
1613210400,2
1613214000,2
1613217600,2
1613221200,2
1613224800,2
1613228400,2
1613232000,4
1613235600,1
1613239200,4
1613242800,0
1613246400,6
1613250000,6
1613253600,2
1613257200,2
1613260800,0
1613264400,0
1613268000,0
1613271600,1
1613275200,1
1613278800,0
1613282400,0
1613286000,1
1613289600,1
1613293200,0
1613296800,0
1613300400,1
1613304000,2
1613307600,4
1613311200,8
1613314800,1
1613318400,3
1613322000,1
1613325600,6
1613329200,1
1613332800,1
1613336400,1
1613340000,0
1613343600,3
1613347200,0
1613350800,0
1613354400,1
1613358000,0
1613361600,2
1613365200,0
1613368800,0
1613372400,1
1613376000,1
1613379600,1
1613383200,0
1613386800,2
1613390400,11
1613394000,1
1613397600,2
1613401200,17
1613404800,1
1613408400,10
1613412000,1
1613415600,1
1613419200,1
1613422800,0
1613426400,1
1613430000,0
1613433600,1
1613437200,1
1613440800,3
1613444400,2
1613448000,0
1613451600,1
1613455200,0
1613458800,4
1613462400,2
1613466000,1
1613469600,5
1613473200,0
1613476800,1
1613480400,0
1613484000,1
1613487600,0
1613491200,7
1613494800,3
1613498400,0
1613502000,0
1613505600,0
1613509200,4
1613512800,1
1613516400,4
1613520000,1
1613523600,0
1613527200,0
1613530800,1
1613534400,0
1613538000,0
1613541600,0
1613545200,0
1613548800,0
1613552400,0
1613556000,0
1613559600,1
1613563200,1
1613566800,0
1613570400,11
1613574000,5
1613577600,2
1613581200,1
1613584800,0
1613588400,0
1613592000,3
1613595600,0
1613599200,0
1613602800,0
1613606400,0
1613610000,2
1613613600,3
1613617200,0
1613620800,0
1613624400,3
1613628000,4
1613631600,0
1613635200,0
1613638800,0
1613642400,0
1613646000,6
1613649600,1
1613653200,0
1613656800,0
1613660400,0
1613664000,0
1613667600,0
1613671200,0
1613674800,1
1613678400,4
1613682000,1
1613685600,2
1613689200,0
1613692800,1
1613696400,0
1613700000,0
1613703600,2
1613707200,2
1613710800,0
1613714400,1
1613718000,2
1613721600,2
1613725200,0
1613728800,6
1613732400,6
1613736000,3
1613739600,2
1613743200,1
1613746800,0
1613750400,0
1613754000,9
1613757600,2
1613761200,9
1613764800,11
1613768400,81
1613772000,10
1613775600,3
1613779200,1
1613782800,4
1613786400,4
1613790000,3
1613793600,2
1613797200,1
1613800800,4
1613804400,8
1613808000,44
1613811600,5
1613815200,12
1613818800,2
1613822400,22
1613826000,23
1613829600,18
1613833200,8
1613836800,9
1613840400,7
1613844000,6
1613847600,13
1613851200,3
1613854800,5
1613858400,10
1613862000,34
1613865600,2
1613869200,0
1613872800,3
1613876400,0
1613880000,0
1613883600,3
1613887200,13
1613890800,9
1613894400,9
1613898000,17
1613901600,7
1613905200,2
1613908800,4
1613912400,4
1613916000,3
1613919600,15
1613923200,11
1613926800,13
1613930400,11
1613934000,26
1613937600,66
1613941200,23
1613944800,15
1613948400,36
1613952000,12
1613955600,7
1613959200,2
1613962800,24
1613966400,22
1613970000,23
1613973600,46
1613977200,53
1613980800,11
1613984400,3
1613988000,13
1613991600,4
1613995200,9
1613998800,6
1614002400,10
1614006000,20
1614009600,6
