date,count
1612134000,2
1612137600,8
1612141200,3
1612144800,3
1612148400,2
1612152000,7
1612155600,14
1612159200,39
1612162800,13
1612166400,2
1612170000,10
1612173600,0
1612177200,3
1612180800,2
1612184400,5
1612188000,1
1612191600,5
1612195200,3
1612198800,3
1612202400,3
1612206000,2
1612209600,3
1612213200,10
1612216800,7
1612220400,2
1612224000,3
1612227600,1
1612231200,5
1612234800,0
1612238400,1
1612242000,5
1612245600,1
1612249200,5
1612252800,3
1612256400,2
1612260000,1
1612263600,2
1612267200,1
1612270800,9
1612274400,5
1612278000,0
1612281600,6
1612285200,1
1612288800,7
1612292400,4
1612296000,5
1612299600,10
1612303200,0
1612306800,0
1612310400,4
1612314000,1
1612317600,0
1612321200,1
1612324800,3
1612328400,1
1612332000,4
1612335600,0
1612339200,2
1612342800,1
1612346400,0
1612350000,1
1612353600,2
1612357200,0
1612360800,7
1612364400,2
1612368000,3
1612371600,1
1612375200,5
1612378800,10
1612382400,2
1612386000,1
1612389600,8
1612393200,3
1612396800,1
1612400400,5
1612404000,1
1612407600,0
1612411200,0
1612414800,7
1612418400,1
1612422000,45
1612425600,166
1612429200,90
1612432800,44
1612436400,52
1612440000,17
1612443600,39
1612447200,36
1612450800,21
1612454400,16
1612458000,10
1612461600,18
1612465200,13
1612468800,14
1612472400,5
1612476000,8
1612479600,12
1612483200,8
1612486800,9
1612490400,12
1612494000,6
1612497600,3
1612501200,3
1612504800,2
1612508400,5
1612512000,13
1612515600,1
1612519200,4
1612522800,13
1612526400,4
1612530000,2
1612533600,2
1612537200,1
1612540800,4
1612544400,0
1612548000,4
1612551600,2
1612555200,2
1612558800,11
1612562400,2
1612566000,0
1612569600,1
1612573200,7
1612576800,3
1612580400,4
1612584000,64
1612587600,41
1612591200,20
1612594800,2
1612598400,5
1612602000,10
1612605600,1
1612609200,3
1612612800,3
1612616400,0
1612620000,5
1612623600,12
1612627200,2
1612630800,5
1612634400,2
1612638000,2
1612641600,4
1612645200,3
1612648800,40
1612652400,12
1612656000,7
1612659600,26
1612663200,7
1612666800,6
1612670400,3
1612674000,4
1612677600,0
1612681200,28
1612684800,6
1612688400,10
1612692000,3
1612695600,4
1612699200,4
1612702800,4
1612706400,4
1612710000,3
1612713600,10
1612717200,12
1612720800,14
1612724400,10
1612728000,11
1612731600,3
1612735200,57
1612738800,13
1612742400,30
1612746000,17
1612749600,2
1612753200,7
1612756800,2
1612760400,7
1612764000,7
1612767600,6
1612771200,5
1612774800,5
1612778400,2
1612782000,1
1612785600,26
1612789200,63
1612792800,37
1612796400,26
1612800000,23
1612803600,21
1612807200,17
1612810800,10
1612814400,6
1612818000,14
1612821600,9
1612825200,16
1612828800,13
1612832400,15
1612836000,12
1612839600,14
1612843200,13
1612846800,7
1612850400,6
1612854000,6
1612857600,9
1612861200,16
1612864800,5
1612868400,6
1612872000,6
1612875600,6
1612879200,3
1612882800,20
1612886400,4
1612890000,5
1612893600,1
1612897200,3
1612900800,7
1612904400,9
1612908000,2
1612911600,5
1612915200,2
1612918800,3
1612922400,4
1612926000,9
1612929600,3
1612933200,0
1612936800,5
1612940400,8
1612944000,5
1612947600,3
1612951200,2
1612954800,7
1612958400,14
1612962000,16
1612965600,5
1612969200,85
1612972800,9
1612976400,4
1612980000,12
1612983600,3
1612987200,9
1612990800,1
1612994400,10
1612998000,8
1613001600,4
1613005200,3
1613008800,9
1613012400,4
1613016000,4
1613019600,3
1613023200,1
1613026800,2
1613030400,7
1613034000,19
1613037600,6
1613041200,3
1613044800,2
1613048400,2
1613052000,1
1613055600,4
1613059200,12
1613062800,2
1613066400,12
1613070000,2
1613073600,20
1613077200,8
1613080800,9
1613084400,27
1613088000,5
1613091600,2
1613095200,0
1613098800,3
1613102400,2
1613106000,4
1613109600,6
1613113200,5
1613116800,6
1613120400,1
1613124000,1
1613127600,7
