date,count
1612134000,0
1612137600,0
1612141200,8
1612144800,6
1612148400,0
1612152000,0
1612155600,0
1612159200,4
1612162800,20
1612166400,2
1612170000,2
1612173600,2
1612177200,2
1612180800,6
1612184400,12
1612188000,12
1612191600,6
1612195200,10
1612198800,4
1612202400,4
1612206000,4
1612209600,0
1612213200,0
1612216800,8
1612220400,6
1612224000,2
1612227600,0
1612231200,10
1612234800,4
1612238400,4
1612242000,10
1612245600,4
1612249200,2
1612252800,0
1612256400,0
1612260000,6
1612263600,2
1612267200,6
1612270800,6
1612274400,6
1612278000,8
1612281600,8
1612285200,10
1612288800,2
1612292400,6
1612296000,6
1612299600,12
1612303200,2
1612306800,4
1612310400,8
1612314000,4
1612317600,0
1612321200,0
1612324800,2
1612328400,4
1612332000,10
1612335600,2
1612339200,2
1612342800,2
1612346400,2
1612350000,6
1612353600,4
1612357200,4
1612360800,10
1612364400,0
1612368000,8
1612371600,10
1612375200,4
1612378800,10
1612382400,2
1612386000,18
1612389600,4
1612393200,4
1612396800,0
1612400400,6
1612404000,0
1612407600,4
1612411200,8
1612414800,8
1612418400,6
1612422000,10
1612425600,20
1612429200,24
1612432800,18
1612436400,20
1612440000,2
1612443600,8
1612447200,18
1612450800,16
1612454400,20
1612458000,4
1612461600,24
1612465200,6
1612468800,8
1612472400,14
1612476000,8
1612479600,8
1612483200,10
1612486800,8
1612490400,8
1612494000,6
1612497600,4
1612501200,4
1612504800,4
1612508400,6
1612512000,10
1612515600,4
1612519200,2
1612522800,4
1612526400,2
1612530000,6
1612533600,4
1612537200,18
1612540800,12
1612544400,2
1612548000,10
1612551600,0
1612555200,2
1612558800,6
1612562400,4
1612566000,2
1612569600,6
1612573200,4
1612576800,4
1612580400,6
1612584000,0
1612587600,16
1612591200,2
1612594800,0
1612598400,2
1612602000,4
1612605600,2
1612609200,6
1612612800,0
1612616400,0
1612620000,2
1612623600,0
1612627200,0
1612630800,0
1612634400,2
1612638000,6
1612641600,2
1612645200,4
1612648800,4
1612652400,8
1612656000,0
1612659600,16
1612663200,6
1612666800,2
1612670400,8
1612674000,2
1612677600,2
1612681200,2
1612684800,4
1612688400,2
1612692000,4
1612695600,10
1612699200,6
1612702800,0
1612706400,0
1612710000,4
1612713600,10
1612717200,8
1612720800,18
1612724400,26
1612728000,10
1612731600,8
1612735200,10
1612738800,10
1612742400,6
1612746000,6
1612749600,0
1612753200,8
1612756800,0
1612760400,4
1612764000,0
1612767600,6
1612771200,4
1612774800,0
1612778400,4
1612782000,0
1612785600,4
1612789200,0
1612792800,12
1612796400,6
1612800000,14
1612803600,2
1612807200,2
1612810800,14
1612814400,2
1612818000,0
1612821600,4
1612825200,10
1612828800,10
1612832400,4
1612836000,10
1612839600,2
1612843200,6
1612846800,4
1612850400,0
1612854000,2
1612857600,12
1612861200,16
1612864800,0
1612868400,6
1612872000,4
1612875600,2
1612879200,4
1612882800,4
1612886400,0
1612890000,4
1612893600,10
1612897200,0
1612900800,6
1612904400,6
1612908000,6
1612911600,0
1612915200,0
1612918800,4
1612922400,2
1612926000,0
1612929600,0
1612933200,6
1612936800,4
1612940400,8
1612944000,2
1612947600,6
1612951200,0
1612954800,6
1612958400,4
1612962000,6
1612965600,6
1612969200,6
1612972800,10
1612976400,4
1612980000,4
1612983600,0
1612987200,18
1612990800,2
1612994400,6
1612998000,8
1613001600,10
1613005200,0
1613008800,6
1613012400,4
1613016000,2
1613019600,8
1613023200,4
1613026800,2
1613030400,6
1613034000,2
1613037600,4
1613041200,4
1613044800,0
1613048400,8
1613052000,4
1613055600,2
1613059200,2
1613062800,0
1613066400,0
1613070000,10
1613073600,0
1613077200,2
1613080800,0
1613084400,4
1613088000,4
1613091600,4
1613095200,6
1613098800,0
1613102400,2
1613106000,0
1613109600,2
1613113200,4
1613116800,0
1613120400,2
1613124000,0
1613127600,12
1613131200,4
1613134800,4
1613138400,0
1613142000,8
1613145600,12
1613149200,2
1613152800,2
1613156400,6
1613160000,4
1613163600,8
1613167200,2
1613170800,0
1613174400,2
1613178000,4
1613181600,2
1613185200,2
1613188800,6
1613192400,2
1613196000,0
1613199600,2
1613203200,2
1613206800,4
1613210400,0
1613214000,0
1613217600,0
1613221200,4
1613224800,4
1613228400,2
1613232000,4
1613235600,2
1613239200,0
1613242800,0
1613246400,0
1613250000,4
1613253600,4
1613257200,2
1613260800,4
1613264400,8
1613268000,4
1613271600,4
1613275200,0
1613278800,6
1613282400,0
1613286000,4
1613289600,2
1613293200,6
1613296800,4
1613300400,0
1613304000,4
1613307600,16
1613311200,2
1613314800,4
1613318400,2
1613322000,6
1613325600,0
1613329200,6
1613332800,8
1613336400,4
1613340000,4
1613343600,2
1613347200,4
1613350800,4
1613354400,2
1613358000,0
1613361600,12
1613365200,10
1613368800,0
1613372400,2
1613376000,2
1613379600,2
1613383200,4
1613386800,6
1613390400,8
1613394000,12
1613397600,4
1613401200,2
1613404800,4
1613408400,0
1613412000,0
1613415600,2
1613419200,2
1613422800,8
1613426400,4
1613430000,2
1613433600,0
1613437200,2
1613440800,6
1613444400,2
1613448000,4
1613451600,2
1613455200,6
1613458800,10
1613462400,2
1613466000,0
1613469600,0
1613473200,2
1613476800,2
1613480400,2
1613484000,2
1613487600,4
1613491200,2
1613494800,2
1613498400,4
1613502000,0
1613505600,0
1613509200,2
1613512800,4
1613516400,0
1613520000,4
1613523600,2
1613527200,8
1613530800,4
1613534400,4
1613538000,0
1613541600,0
1613545200,2
1613548800,0
1613552400,2
1613556000,2
1613559600,2
1613563200,0
1613566800,10
1613570400,2
1613574000,8
1613577600,4
1613581200,0
1613584800,0
1613588400,4
1613592000,0
1613595600,2
1613599200,0
1613602800,0
1613606400,6
1613610000,2
1613613600,2
1613617200,4
1613620800,6
1613624400,2
1613628000,2
1613631600,0
1613635200,0
1613638800,0
1613642400,2
1613646000,0
1613649600,0
1613653200,10
1613656800,4
1613660400,0
1613664000,2
1613667600,2
1613671200,0
1613674800,2
1613678400,0
1613682000,2
1613685600,0
1613689200,2
1613692800,6
1613696400,0
1613700000,2
1613703600,6
1613707200,2
1613710800,2
1613714400,2
1613718000,6
1613721600,4
1613725200,4
1613728800,4
1613732400,0
1613736000,0
1613739600,0
1613743200,2
1613746800,2
1613750400,2
1613754000,2
1613757600,8
1613761200,2
1613764800,0
1613768400,2
1613772000,0
1613775600,10
1613779200,2
1613782800,2
1613786400,4
1613790000,2
1613793600,2
1613797200,0
1613800800,0
1613804400,2
1613808000,0
1613811600,2
1613815200,0
1613818800,4
1613822400,8
1613826000,12
1613829600,6
1613833200,0
1613836800,0
1613840400,0
1613844000,6
1613847600,6
1613851200,4
1613854800,4
1613858400,2
1613862000,0
1613865600,2
1613869200,2
1613872800,2
1613876400,0
1613880000,2
1613883600,0
1613887200,2
1613890800,0
1613894400,0
1613898000,0
1613901600,4
1613905200,0
1613908800,0
1613912400,2
1613916000,0
1613919600,0
1613923200,0
1613926800,4
1613930400,2
1613934000,6
1613937600,4
1613941200,2
1613944800,4
1613948400,0
1613952000,0
1613955600,0
1613959200,2
1613962800,0
1613966400,2
1613970000,6
1613973600,6
1613977200,2
1613980800,2
1613984400,4
1613988000,6
1613991600,4
1613995200,0
1613998800,0
1614002400,2
1614006000,0
1614009600,4
