date,count
1612134000,0
1612137600,4
1612141200,4
1612144800,4
1612148400,2
1612152000,4
1612155600,0
1612159200,4
1612162800,2
1612166400,0
1612170000,0
1612173600,2
1612177200,0
1612180800,0
1612184400,2
1612188000,0
1612191600,2
1612195200,6
1612198800,6
1612202400,0
1612206000,4
1612209600,2
1612213200,14
1612216800,10
1612220400,4
1612224000,0
1612227600,2
1612231200,4
1612234800,4
1612238400,0
1612242000,4
1612245600,0
1612249200,0
1612252800,4
1612256400,18
1612260000,2
1612263600,0
1612267200,4
1612270800,4
1612274400,0
1612278000,8
1612281600,0
1612285200,2
1612288800,2
1612292400,2
1612296000,2
1612299600,2
1612303200,58
1612306800,12
1612310400,6
1612314000,8
1612317600,2
1612321200,8
1612324800,8
1612328400,6
1612332000,4
1612335600,2
1612339200,0
1612342800,2
1612346400,4
1612350000,0
1612353600,4
1612357200,2
1612360800,0
1612364400,0
1612368000,0
1612371600,20
1612375200,0
1612378800,4
1612382400,6
1612386000,4
1612389600,4
1612393200,6
1612396800,16
1612400400,2
1612404000,6
1612407600,2
1612411200,6
1612414800,2
1612418400,0
1612422000,0
1612425600,2
1612429200,0
1612432800,0
1612436400,0
1612440000,0
1612443600,0
1612447200,4
1612450800,2
1612454400,0
1612458000,2
1612461600,4
1612465200,0
1612468800,4
1612472400,2
1612476000,2
1612479600,0
1612483200,0
1612486800,0
1612490400,0
1612494000,0
1612497600,2
1612501200,2
1612504800,0
1612508400,2
1612512000,2
1612515600,6
1612519200,6
1612522800,0
1612526400,0
1612530000,2
1612533600,0
1612537200,8
1612540800,0
1612544400,0
1612548000,188
1612551600,46
1612555200,4
1612558800,8
1612562400,4
1612566000,26
1612569600,0
1612573200,0
1612576800,6
1612580400,6
1612584000,4
1612587600,8
1612591200,0
1612594800,0
1612598400,2
1612602000,0
1612605600,2
1612609200,4
1612612800,6
1612616400,0
1612620000,6
1612623600,10
1612627200,0
1612630800,4
1612634400,6
1612638000,4
1612641600,4
1612645200,8
1612648800,0
1612652400,0
1612656000,2
1612659600,26
1612663200,0
1612666800,2
1612670400,6
1612674000,0
1612677600,4
1612681200,0
1612684800,0
1612688400,50
1612692000,4
1612695600,10
1612699200,0
1612702800,0
1612706400,2
1612710000,6
1612713600,0
1612717200,2
1612720800,8
1612724400,12
1612728000,0
1612731600,2
1612735200,0
1612738800,0
1612742400,0
1612746000,14
1612749600,2
1612753200,4
1612756800,10
1612760400,0
1612764000,0
1612767600,0
1612771200,2
1612774800,0
1612778400,0
1612782000,4
1612785600,2
1612789200,0
1612792800,2
1612796400,2
1612800000,0
1612803600,0
1612807200,0
1612810800,4
1612814400,4
1612818000,0
1612821600,0
1612825200,2
1612828800,4
1612832400,4
1612836000,2
1612839600,4
1612843200,4
1612846800,14
1612850400,0
1612854000,10
1612857600,10
1612861200,0
1612864800,0
1612868400,2
1612872000,2
1612875600,6
1612879200,96
1612882800,46
1612886400,6
1612890000,14
1612893600,14
1612897200,4
1612900800,0
1612904400,6
1612908000,2
1612911600,0
1612915200,4
1612918800,2
1612922400,16
1612926000,8
1612929600,2
1612933200,2
1612936800,4
1612940400,2
1612944000,6
1612947600,2
1612951200,2
1612954800,6
1612958400,2
1612962000,6
1612965600,0
1612969200,4
1612972800,2
1612976400,10
1612980000,0
1612983600,8
1612987200,0
1612990800,10
1612994400,2
1612998000,0
1613001600,4
1613005200,10
1613008800,2
1613012400,0
1613016000,0
1613019600,6
1613023200,6
1613026800,0
1613030400,0
1613034000,2
1613037600,44
1613041200,0
1613044800,30
1613048400,14
1613052000,18
1613055600,12
1613059200,10
1613062800,4
1613066400,44
1613070000,44
1613073600,2
1613077200,36
1613080800,36
1613084400,22
1613088000,6
1613091600,8
1613095200,26
1613098800,176
1613102400,86
1613106000,38
1613109600,22
1613113200,66
1613116800,22
1613120400,28
1613124000,14
1613127600,70
1613131200,76
1613134800,42
1613138400,14
1613142000,10
1613145600,4
1613149200,6
1613152800,0
1613156400,8
1613160000,20
1613163600,6
1613167200,14
1613170800,8
1613174400,8
