date,count
1612134000,1
1612137600,3
1612141200,0
1612144800,4
1612148400,3
1612152000,9
1612155600,2
1612159200,1
1612162800,4
1612166400,0
1612170000,0
1612173600,1
1612177200,5
1612180800,8
1612184400,4
1612188000,0
1612191600,1
1612195200,5
1612198800,4
1612202400,1
1612206000,1
1612209600,0
1612213200,1
1612216800,1
1612220400,0
1612224000,0
1612227600,11
1612231200,0
1612234800,0
1612238400,0
1612242000,5
1612245600,1
1612249200,1
1612252800,0
1612256400,1
1612260000,0
1612263600,5
1612267200,0
1612270800,0
1612274400,0
1612278000,2
1612281600,2
1612285200,0
1612288800,1
1612292400,0
1612296000,1
1612299600,0
1612303200,0
1612306800,5
1612310400,2
1612314000,0
1612317600,1
1612321200,7
1612324800,2
1612328400,0
1612332000,0
1612335600,0
1612339200,0
1612342800,0
1612346400,0
1612350000,2
1612353600,4
1612357200,7
1612360800,1
1612364400,3
1612368000,0
1612371600,4
1612375200,3
1612378800,0
1612382400,3
1612386000,4
1612389600,3
1612393200,1
1612396800,10
1612400400,4
1612404000,0
1612407600,1
1612411200,3
1612414800,1
1612418400,2
1612422000,6
1612425600,6
1612429200,0
1612432800,0
1612436400,0
1612440000,1
1612443600,2
1612447200,1
1612450800,5
1612454400,2
1612458000,4
1612461600,1
1612465200,0
1612468800,5
1612472400,1
1612476000,1
1612479600,0
1612483200,0
1612486800,0
1612490400,2
1612494000,3
1612497600,5
1612501200,0
1612504800,2
1612508400,3
1612512000,1
1612515600,1
1612519200,3
1612522800,4
1612526400,0
1612530000,2
1612533600,1
1612537200,1
1612540800,9
1612544400,2
1612548000,3
1612551600,6
1612555200,0
1612558800,2
1612562400,2
1612566000,1
1612569600,0
1612573200,3
1612576800,1
1612580400,1
1612584000,3
1612587600,5
1612591200,0
1612594800,0
1612598400,2
1612602000,3
1612605600,2
1612609200,8
1612612800,3
1612616400,4
1612620000,2
1612623600,7
1612627200,4
1612630800,5
1612634400,2
1612638000,3
1612641600,2
1612645200,3
1612648800,1
1612652400,3
1612656000,0
1612659600,0
1612663200,8
1612666800,0
1612670400,3
1612674000,2
1612677600,1
1612681200,2
1612684800,0
1612688400,4
1612692000,0
1612695600,0
1612699200,0
1612702800,1
1612706400,1
1612710000,0
1612713600,1
1612717200,3
1612720800,4
1612724400,3
1612728000,2
1612731600,1
1612735200,0
1612738800,4
1612742400,3
1612746000,0
1612749600,0
1612753200,1
1612756800,8
1612760400,0
1612764000,0
1612767600,1
1612771200,3
1612774800,0
1612778400,1
1612782000,3
1612785600,1
1612789200,4
1612792800,3
1612796400,2
1612800000,2
1612803600,2
1612807200,2
1612810800,1
1612814400,2
1612818000,2
1612821600,2
1612825200,4
1612828800,3
1612832400,8
1612836000,2
1612839600,7
1612843200,1
1612846800,4
1612850400,1
1612854000,3
1612857600,3
1612861200,0
1612864800,1
1612868400,1
1612872000,5
1612875600,4
1612879200,3
1612882800,1
1612886400,4
1612890000,0
1612893600,1
1612897200,10
1612900800,2
1612904400,3
1612908000,1
1612911600,1
1612915200,1
1612918800,20
1612922400,21
1612926000,34
1612929600,36
1612933200,13
1612936800,6
1612940400,2
1612944000,18
1612947600,2
1612951200,4
1612954800,3
1612958400,9
1612962000,6
1612965600,12
1612969200,12
1612972800,3
1612976400,7
1612980000,11
1612983600,6
1612987200,10
1612990800,3
1612994400,13
1612998000,12
1613001600,3
1613005200,1
1613008800,0
1613012400,1
1613016000,8
1613019600,5
1613023200,5
1613026800,1
1613030400,0
1613034000,5
1613037600,2
1613041200,11
1613044800,5
1613048400,14
1613052000,7
1613055600,7
1613059200,6
1613062800,8
1613066400,5
1613070000,4
1613073600,9
1613077200,3
1613080800,6
1613084400,4
1613088000,2
1613091600,4
1613095200,0
1613098800,4
1613102400,5
1613106000,1
1613109600,1
1613113200,0
1613116800,3
1613120400,2
1613124000,0
1613127600,1
1613131200,2
1613134800,3
1613138400,3
1613142000,15
1613145600,1
1613149200,4
1613152800,2
1613156400,3
1613160000,3
1613163600,0
1613167200,0
1613170800,1
1613174400,5
1613178000,2
1613181600,2
1613185200,1
1613188800,16
1613192400,4
1613196000,2
1613199600,6
1613203200,1
1613206800,2
1613210400,1
1613214000,6
1613217600,16
1613221200,19
1613224800,5
1613228400,3
1613232000,1
1613235600,3
1613239200,10
1613242800,6
1613246400,3
1613250000,0
1613253600,0
1613257200,3
1613260800,2
1613264400,1
1613268000,5
1613271600,10
1613275200,10
1613278800,1
