symbol,count
ADA,84904
BTC,64720
ETH,41686
XRP,24760
DOGE,16942
BNB,15916
VET,13825
XLM,13630
CHZ,13102
COTI,11294
ATOM,10683
LTC,9350
BTT,8699
ENJ,8639
GRT,8365
MATIC,8364
DOT,7731
ALGO,6858
DENT,6632
AAVE,6384
NANO,6238
UNI,5661
OMI,5156
STMX,4798
ZRX,4683
DODO,4678
MEME,4672
ANKR,4638
REEF,4515
USDT,4341
MANA,3727
RVN,3268
HBAR,3116
SFP,3073
STORJ,2846
VTHO,2816
SUSHI,2568
CHR,2542
TRX,2363
AVAX,2282
ALICE,2164
ZIL,2158
OMG,2132
OGN,1999
BAT,1978
ONE,1906
LUNA,1896
PAID,1772
EGLD,1771
AKRO,1763
THETA,1762
HOGE,1734
NEO,1720
NPXS,1715
ICX,1671
1INCH,1604
AUCTION,1544
CRO,1541
UMA,1482
SWAP,1474
MIOTA,1425
REN,1410
EOS,1366
XEM,1357
LABS,1355
LIT,1331
XMR,1288
DMD,1247
LTO,1210
SC,1207
FTM,1205
DNT,1195
TON,1057
IOST,1050
FIL,1011
DASH,986
ZERO,951
BEPRO,948
SKL,933
HOT,866
USDC,854
APY,842
XTZ,841
RSR,836
LINA,817
QTUM,802
PI,801
MOD,747
RLY,737
DAI,710
NU,708
AUDIO,680
FET,653
WIN,630
COS,616
WAVES,600
REP,597
CAKE,597
PNT,588
LINK,588
ERC20,572
CVC,560
SNX,556
PIVX,554
COMP,545
SOL,543
BCH,538
TIPS,522
HIVE,502
BUSD,501
CELR,466
KSM,463
NEXO,448
SXP,439
ABT,420
IQ,414
BNT,413
PRE,408
CTSI,394
BURST,386
DGB,380
FLASH,373
ZEC,372
TROY,366
MTL,360
CELO,358
TRAC,357
CKB,338
DEGO,326
LRC,313
ALPHA,309
PHB,299
ARK,298
UNFI,283
XVG,280
BAN,261
MET,258
RAMP,256
YEE,256
LSK,256
WABI,248
LA,248
YFI,248
MBL,237
ORN,235
HNT,233
AMB,232
GEN,229
CTK,214
KCS,212
DOCK,212
EL,207
XVS,206
RUNE,204
VITE,202
MKR,200
CHSB,200
VID,197
STX,197
FEG,197
AMP,196
KLV,195
KNC,193
CRV,187
ONT,186
HYDRA,184
MTA,181
SAFEMARS,180
WAN,177
GMT,176
HUNT,176
EFX,176
TEL,174
VGX,172
TRU,170
ANT,169
ATRI,168
TVK,167
ROBOT,164
UOS,157
KIN,156
META,154
MINT,153
DSLA,146
WTC,145
LYXE,142
BONDLY,142
TOMO,142
BAO,142
DEC,141
SOAR,140
CS,139
PROS,137
POLY,137
INJ,137
DAO,137
WINGS,134
BTCST,133
GTO,133
DUCK,133
XDB,131
SI,131
KAVA,128
REVV,128
ACH,128
MFT,127
POLS,124
OVR,122
BAL,122
BLZ,122
LEND,122
COCOS,121
AVA,120
NKN,120
DMT,119
SYS,118
IOTX,116
BIFI,115
MITH,115
DIA,112
AR,111
AION,110
UTK,109
GVT,109
VTC,108
LOOM,108
RARI,107
WOO,107
VIDYA,106
SLP,105
L2,105
RBC,104
GO,102
SPI,102
AXS,100
DCN,100
UPP,99
WAXP,99
ERN,98
SCRT,97
JUP,97
OM,97
REQ,91
BLANK,90
NMR,88
XPR,88
VAI,86
NAV,86
JST,86
SHA,85
MIR,84
STPT,84
UFT,84
HTR,84
AGI,83
GLM,83
PHA,82
FXS,82
BEAM,82
SOCKS,81
DEFI5,81
POND,80
ELF,80
SYNC,79
TNB,79
OXY,78
ROCKS,78
ETN,78
QSP,77
MDT,76
BADGER,76
BUNNY,76
SAN,76
AC,76
KMD,75
RNDR,75
VIB,74
LPOOL,74
COMBO,72
MTH,72
FRONT,72
GALA,72
ZEE,71
QLC,70
STEEM,70
PAR,70
DFT,69
IDLE,68
AGA,67
TORN,67
NXS,67
API3,66
AST,66
XDN,65
KAI,65
EUNO,64
ARPA,64
OST,64
WRX,64
SYLO,64
SLT,63
FIO,61
RDD,61
NIM,60
BTS,60
UST,59
ARMOR,58
DEXE,58
SKY,57
TWT,55
PPT,55
DCR,55
XHV,55
BUX,54
INV,54
IDEX,54
ZEN,53
QNT,53
MONA,52
DAG,51
PERP,51
RAY,51
UNISTAKE,50
MED,49
LAYER,48
CNN,48
AERGO,48
SUPER,47
VIDT,47
PROPS,47
IRIS,46
MXC,46
STRAX,44
ERG,44
FOAM,44
SNT,42
XCASH,42
NEBL,42
DUSK,42
BEL,41
SPANK,41
TRTL,41
PICKLE,41
MUSE,40
ZAP,40
FIRO,40
OPCT,39
IMPULSE,39
CEL,39
GRIN,38
DBC,38
QKC,38
CHI,38
MVP,38
BSV,38
OAX,38
DEA,38
LAMB,37
MDA,37
NDX,36
MTV,36
NAS,36
AXN,35
CHX,34
NXT,34
MLN,34
POLK,34
OPIUM,34
CUDOS,34
TITAN,34
SMT,34
ABYSS,34
MXX,33
SPARTA,33
LGCY,33
TRB,33
SRM,33
SWINGBY,32
RLC,32
BZRX,32
TCT,32
RDN,32
MAPS,32
KIT,32
CMT,32
CVNT,31
MDX,31
EVX,31
PROM,30
AOA,30
POWR,30
BRD,30
SNM,30
ARDR,30
NCASH,30
ANC,30
HAI,29
XDC,29
LPT,28
XED,28
ENG,28
GHST,28
NFTX,28
KAN,28
APL,27
CONV,27
WBTC,27
DRGN,27
CRE,27
EASY,27
MX,26
AKT,26
HEGIC,26
ZKS,26
LBC,26
DOWS,26
COVAL,26
NEST,26
YFII,25
PRQ,25
BTG,25
DF,25
DOS,24
FX,24
FLUX,24
NULS,24
B20,24
DAPPT,24
GLQ,23
FTT,23
WXT,23
TIDAL,23
LEO,23
CDT,23
PMON,22
ID,22
RPL,22
SKEY,22
LYM,22
XCUR,22
BTMX,21
HNS,21
LTX,21
NMC,21
CVP,20
SHROOM,20
VAL,20
RAD,20
APPC,20
XOR,20
DYN,20
GT,19
YLD,19
POA,19
BAX,19
KEY,18
OXEN,18
EWT,18
DRC,18
NEX,18
RUFF,18
PAX,18
SWRV,18
ESS,18
AMPL,18
YAM,18
SETH,18
NOIA,18
MAID,18
CV,17
RAZOR,17
AUTO,17
ROOK,17
CUBE,17
MOON,17
BOA,17
DLT,17
K21,16
FUSE,16
GUSD,16
RFOX,16
SAI,16
ICHI,16
APYS,16
QUICK,16
KOBE,16
AE,15
XYO,15
NSBT,15
ELA,15
HELMET,15
DORA,15
KAT,15
BRY,15
CND,15
YOP,15
SUSD,14
RIF,14
CAS,14
PAC,14
UUU,14
OIN,14
BSCPAD,14
DIGG,14
XRT,13
ZNN,13
TUSD,13
FSN,13
CNS,13
ADX,13
JULD,13
MATTER,13
SPND,12
HT,12
VIA,12
BIP,12
ETP,12
ORBS,12
MITX,12
TXL,12
FLO,12
BAC,12
DG,12
GEO,12
CXO,12
TT,12
GIV,12
DPI,11
YF-DAI,11
ORAI,11
PAINT,11
RULER,11
BLES,11
SHR,11
VERI,11
RENBTC,10
DGTX,10
FIS,10
ALPACA,10
PKF,10
VEE,10
GSWAP,10
PREMIA,10
ERSDL,10
LON,10
RCN,10
SNGLS,10
BFT,9
KOIN,9
DAFI,9
WPR,9
FRM,9
DEUS,9
UMX,9
LUA,9
OHM,9
RFR,9
BTX,9
DIVI,8
QRL,8
BCD,8
UMB,8
HNY,8
EGT,8
BMI,8
PPC,8
PAXG,8
NFY,8
BCN,8
PCX,8
NRG,8
EVN,7
CPC,7
SNOW,7
DEXT,7
BCHA,7
LOC,7
MHC,7
GAME,7
NWC,7
FRAX,6
FWT,6
MBTC,6
TAU,6
PPAY,6
OKB,6
SOC,6
SHOPX,6
UBT,6
EVED,6
SNTVT,6
HUSD,6
DERO,6
RFUEL,6
UNN,6
SWTH,6
FXF,6
BCP,6
CFI,6
NSURE,6
EMC2,6
STA,6
ENQ,6
BOR,5
TKY,5
ARRR,5
BTM,5
SRN,5
NGM,5
DYP,5
UIP,5
OCN,5
FOR,5
HC,5
RIO,5
RMT,5
ALBT,5
NMX,5
CLO,5
DOKI,5
DVPN,5
MPH,5
PLR,5
BDP,5
CHP,5
COL,5
NCT,5
PRT,5
UTNP,5
EPS,5
NIX,4
SPH,4
GNO,4
XFT,4
LUSD,4
SWFTC,4
GBYTE,4
SOTA,4
EDG,4
MFG,4
OCE,4
EDR,4
KEX,4
KTLYO,4
USDX,4
TLOS,4
POOL,4
BTC2,4
SLINK,4
JUL,4
FNT,4
SNL,4
INXT,4
VSP,4
LCX,4
KRL,4
ACS,4
FCT,4
AUC,4
GTH,4
ESD,4
ELE,4
GRS,4
TBTC,4
FEI,4
WAULT,4
CRPT,4
CTI,3
HPB,3
NEBO,3
EPAN,3
MRPH,3
ILV,3
ROOM,3
PMA,3
WGR,3
SFI,3
KYL,3
HBTC,3
GRO,3
DSD,3
KP3R,3
YCC,3
VXV,3
EURS,3
MBX,3
DHT,3
CRU,3
BNF,3
HIT,3
COV,3
TKN,3
BLOCK,3
STN,2
HXRO,2
WATCH,2
SOUL,2
EXRD,2
HAUS,2
GLC,2
BIRD,2
ANY,2
PAY,2
CUSDC,2
POLC,2
SYNX,2
MOBI,2
SX,2
CDAI,2
PLU,2
XBASE,2
CNTR,2
DHC,2
WOZX,2
PRO,2
ODDZ,2
CUSD,2
